Date,안랩,케이씨피드,솔고바이오,써니전자,월비스
2012-10-11,60172.34765625,3310.345703125,39480.0,3581.301513671875,3444.9736328125
2012-10-12,58818.26953125,3248.3544921875,39760.0,3457.966064453125,3547.2998046875
2012-10-15,52724.86328125,3078.910888671875,35700.0,2946.3515625,3060.033203125
2012-10-16,53148.01953125,3157.43408203125,37100.0,3097.09521484375,3084.396484375
2012-10-17,51370.7734375,3041.71630859375,36400.0,2923.51171875,2972.325439453125
2012-10-18,50101.31640625,2797.883056640625,36400.0,2695.112060546875,2826.145263671875
2012-10-19,48154.81640625,2802.01611328125,35280.0,2521.528564453125,2860.254150390625
2012-10-22,50693.7265625,3000.388916015625,37100.0,2896.103759765625,2991.81591796875
2012-10-23,57210.2890625,3190.49560546875,41160.0,3330.062255859375,2943.08935546875
2012-10-24,52894.12109375,2884.6708984375,36540.0,3827.972900390625,2816.400146484375
2012-10-25,52809.4921875,2789.617431640625,36260.0,4398.97119140625,2865.12646484375
2012-10-26,52894.12109375,3008.654296875,38920.0,4481.1953125,2947.9619140625
2012-10-29,50778.36328125,3058.2470703125,37800.0,4234.52392578125,2986.943115234375
2012-10-30,50101.31640625,3058.2470703125,38080.0,4869.4736328125,2714.073974609375
